Table,Field,ShortDesc,Description,DataType,VisibleInRanking
"tblS3ToxicsAltReleases","PM_Enclosures",,"An indication that a physical containment of the release within a structure (e.g., a building) is in place.","Yes/No",0
"tblS3ToxicsAltReleases","PM_OtherType",,"The type of Passive Mitigation in place if the passive mitigation is other than those listed in 3.15.a. through 3.15.e.","Text",0
"tblS3ToxicsAltReleases","PM_Sumps",,"An indication that a pit or tank that catches liquid runoff for drainage or disposal is in place.","Yes/No",0
"tblS3ToxicsAltReleases","PR_Comm_Ind",,"An indication that a major commercial, office, or industrial area is within the distance to the endpoint specified in the alternative release scenario. These
include industrial parks, office buildings, shopping malls, commercial areas.","Yes/No",0
"tblS3ToxicsAltReleases","PR_Hospitals",,"An indication that a hospital is within the distance to the endpoint specified in the alternative release scenario.","Yes/No",0
"tblS3ToxicsAltReleases","PR_OtherType",,"The type of public receptor if the public receptor is other than those listed in 3.13.a. through 3.13.f.","Text",0
"tblS3ToxicsAltReleases","PR_Prisons",,"An indication that a prison or correction facility is within the distance to the endpoint specified in the alternative release scenario.","Yes/No",0
"tblS3ToxicsAltReleases","PR_PublicRecreation",,"An indication that a recreational area or arena is within the distance to the endpoint specified in the alternative release scenario. These include stadiums, parks, and public pools.","Yes/No",0
"tblS3ToxicsAltReleases","PR_Residences",,"An indication that residences are within the distance to the endpoint specified in the alternative release scenario.","Yes/No",0
"tblS3ToxicsAltReleases","PR_Schools",,"An indication that a school is within the distance to the endpoint specified in the alternative release scenario. Schools include public and private elementary, secondary, or higher education schools.","Yes/No",0
"tblS3ToxicsAltReleases","ProcessChemicalID",,"Unique number used to identify each chemical in a process from Section 1 Chemicals in Covered Process.  Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS3ToxicsAltReleases","ptrGraphic",,"The type of active mitigation in place if other than those listed in 3.16.a. through 3.16.h.","Text",0
"tblS3ToxicsAltReleases","QuantityReleased","3.5 Quantity released (lbs)","The quantity of the chemical released during the alternative release scenario in pounds.","Double",1
"tblS3ToxicsAltReleases","ReleaseDuration","3.7 Release duration (min)","The a length of time in minutes for the vessel, pipeline, or other location of the regulated substance to release the quantity.","Single",1
"tblS3ToxicsAltReleases","ReleaseRate","3.6 Release rate (lbs/min)","The release rate in pounds per minute.","Double",1
"tblS3ToxicsAltReleases","ResidentialPopulation","3.12 Residential population within distance to endpoint","The residential population within the distance to endpoint potentially impacted by the toxics alternative release scenario.","Long Integer",1
"tblS3ToxicsAltReleases","Scenario",,"A description of the toxics alternative release scenario as follows: (a) Transfer hose failure is the failure of the connection between two or more
vessels; (b) Pipe leak is the release through a rupture in a pipe; (c) Vessel leak is a release through a rupture in a vessel; (d) Overfilling is release due to filling a pipe, vessel, or other container past its capacity; (e) Ruptured disk/relief valve is a release due to failure of a rupture disk/relief valve to function properly.  A rupture disk/relief valve is a valve that relieves pressure
beyond a specified limit; a relief valve re-closes upon return to normal operating conditions; (f) Excess flow device failure is a release caused by
the failure of excess flow device to function properly and prevent surges from reaching downstream equipment; and (g) any other scenario not in list. One of the following should be specified:
Transfer hose failure;
Pipe leak;
Vessel leak;
Overfilling;
Rupture disk/relief; Valve failure;
Excess flow device failure;
Other (specify).","Text",0
"tblS3ToxicsAltReleases","StabilityClass",,"A code (A through F) representing the average daily stability based on annual data collected at the site or local meteorological station.  List ""D,"" if
OCA guidance is used.  If scenario is modeled, use the average daily stability based on annual data collected at local meteorological station.","Text",0
"tblS3ToxicsAltReleases","Topography",,"A code representing the topography of the area potentially impacted by the alternative release scenario.","Text",0
"tblS3ToxicsAltReleases","ToxicID",,"Unique identifier for the Section 3 Toxics Alternative Release record destination table.  Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS3ToxicsAltReleases","WindSpeed",,"The wind speed in meters per second.  List 3 m/s if RMP Offsite Consequence Analysis (OCA) guidance is used.  If scenario is modeled, indicate the average daily wind speed based on annual data collected at the local meteorological station.","Single",0
"tblS4FlammablesWorstCase","AnalyticalBasis",,"The analytical basis for choosing the Flammables Worst Case Scenario.  
One of the following should be specified:
EPA’s OCA Guidance Reference Tables or Equations; 
EPA’s RMP Guidance for Propane Storage
Reference Tables or Equations;
EPA’s RMP Guidance for Wastewater Treatment Plants Reference Tables or Equations;
EPA’s RMP Guidance for Warehouses Reference Tables or Equations;
EPA’s RMP Guidance for Chemical Distributors Reference Tables or Equations;
EPA’s RMP*Comp (TM);
Other Model Name.","Text",0
"tblS4FlammablesWorstCase","CBI_Flag",,"An indication that Confidential Business Information (CBI) was claimed for certain data elements in the record.","Yes/No",0
"tblS4FlammablesWorstCase","Distance2Endpoint","4.6 Distance to endpoint  (miles)","The distance to the end of the impact zone for the flammables worst case scenario.","Single",1
"tblS4FlammablesWorstCase","ER_FedWilderness",,"An indication that federal wilderness areas are within a circle whose center is the point of the release and radius is determined by the distance to the endpoint.","Yes/No",0
"tblS4FlammablesWorstCase","ER_NatlStateParks",,"An indication that national or state parks, forests, or monuments are within a circle whose center is the point of the release and radius is determined by
the distance to the endpoint.","Yes/No",0
"tblS4FlammablesWorstCase","ER_OtherType",,"The type of environmental receptor if the environmental receptor is other than those listed in 4.9.a. through 4.9.c.","Text",0
"tblS4FlammablesWorstCase","ER_WildlifeSactuary",,"An indication that officially designated wildlife sanctuaries, preserves, or refuges are within a circle whose center is the point of the release and
radius is determined by the distance to the endpoint.","Yes/No",0
"tblS4FlammablesWorstCase","FlammableID",,"Unique identifier for the flammables worst case record destination table.  Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS4FlammablesWorstCase","PM_BlastWalls",,"An indication that a heavy wall used to isolate buildings or areas that contain highly combustible or explosive materials is in place.","Yes/No",0
"tblS4FlammablesWorstCase","PM_OtherType",,"The type of the passive mitigation considered if other than 4.10.a.","Text",0
"tblS4FlammablesWorstCase","PR_Comm_Ind",,"An indication that a major commercial, office, or industrial area is within the distance to the endpoint specified in the worst case scenario. These include
industrial parks, office buildings, shopping malls, commercial areas.","Yes/No",0
"tblS4FlammablesWorstCase","PR_Hospitals",,"An indication that a hospital is within the distance to the endpoint specified in the worst case scenario.","Yes/No",0
"tblS4FlammablesWorstCase","PR_OtherType",,"The type of public receptor if the public receptor is other than those listed in 4.8.a through 4.8.f.","Text",0
"tblS4FlammablesWorstCase","PR_Prisons",,"An indication that a prison or correction facility is within the distance to the endpoint specified in the worst case scenario.","Yes/No",0
"tblS4FlammablesWorstCase","PR_PublicRecreation",,"An indication that a recreational area or arena is within the distance to the endpoint specified in the worst case scenario. These include stadiums, parks, and public pools.","Yes/No",0
"tblS4FlammablesWorstCase","PR_Residences",,"An indication that residences are within the distance to the endpoint specified in the worst case scenario.","Yes/No",0
"tblS4FlammablesWorstCase","PR_Schools",,"An indication that a school is within the distance to the endpoint specified in the worst case scenario.  Schools include: public and private elementary,
secondary, or higher education schools.","Yes/No",0
"tblS4FlammablesWorstCase","ProcessChemicalID",,"Unique number used to identify each chemical in a process.  Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS4FlammablesWorstCase","ptrGraphic",,"The DOS file name of the graphic file for the flammables worst case scenario.  Should be “.JPG” or “.GIF” with up to an 8-character prefix.","Text",0
"tblS4FlammablesWorstCase","QuantityReleased","4.4 Quantity released (lbs)","The quantity of the flammable chemical released in pounds.","Double",1
"tblS4FlammablesWorstCase","ResidentialPopulation","4.7 Residential population within distance to endpoint","The population within the distance to endpoint potentially impacted by the worst case scenario.","Long Integer",1
"tblS5FlammablesAltReleases","AM_DelugeSystems",,"An indication that a system to overflow an area of a release with water or other extinguishing fluid was considered.","Yes/No",0
"tblS5FlammablesAltReleases","AM_ExcessFlowValve",,"An indication that a system for diverting overflow was considered.","Yes/No",0
"tblS5FlammablesAltReleases","AM_OtherType",,"The type of active mitigation considered if other than those listed in 5.11.a through 5.11.d.","Text",0
"tblS5FlammablesAltReleases","AM_SprinklerSystems",,"An indication that a system for protecting against fire by means of overhead pipes which convey an extinguishing fluid through heat activated outlets was considered.","Yes/No",0
"tblS5FlammablesAltReleases","AM_WaterCurtain",,"An indication that a spray of water from a horizontal pipe through nozzles was considered.  The curtain may be activated manually or automatically.","Yes/No",0
"tblS5FlammablesAltReleases","AnalyticalBasis",,"The analytical basis for choosing the Flammables Alternative Release Scenario.","Text",0
"tblS5FlammablesAltReleases","CBI_Flag",,"An indication that Confidential Business Information (CBI) was claimed for certain data elements in the record.","Yes/No",0
"tblS5FlammablesAltReleases","Distance2Endpoint","5.6 Distance to endpoint  (miles)","The distance impacted by the flammable release in miles.","Single",1
"tblS5FlammablesAltReleases","EndpointUsed",,"The endpoint of the flammable reaction - “1 PSI” or “5 kw/m2 for 40 seconds” or “Lower flammability limit.”","Text",0
"tblS5FlammablesAltReleases","ER_FedWilderness",,"An indication that federal wilderness areas are within a circle whose center is the point of the release and radius is determined by the distance to the endpoint.","Yes/No",0
"tblS5FlammablesAltReleases","ER_NatlStateParks",,"An indication that national or state parks, forests, or monuments are within a circle whose center is the point of the release and radius is determined by the distance to the endpoint.","Yes/No",0
"tblS5FlammablesAltReleases","ER_OtherType",,"The type of environmental receptor if the environmental receptor is other than those listed in 5.9.a. through 5.9.c.","Text",0
"tblS5FlammablesAltReleases","ER_WildlifeSactuary",,"An indication that officially designated wildlife sanctuaries, preserves, or refuges are within a circle whose center is the point of the release and radius is determined by the distance to the endpoint.","Yes/No",0
"tblS5FlammablesAltReleases","FlammableID",,"Unique identifier for the Flammables Alternative Release record.  Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS5FlammablesAltReleases","LFL_Value","5.5 LFL Value (% Volume)","The lower flammability limit in units of percent volume.","Single",1
"tblS5FlammablesAltReleases","PM_BlastWalls",,"An indication that a heavy wall used to isolate buildings or areas that contain highly combustible or explosive materials is in place.","Yes/No",0
"tblS5FlammablesAltReleases","PM_Dikes",,"An indication that a low wall that acts as a barrier to prevent a spill from spreading is in place.","Yes/No",0
"tblS5FlammablesAltReleases","PM_Enclosures",,"An indication that a type of physical containment of the release within a structure (e.g., a building) is in place.","Yes/No",0
"tblS5FlammablesAltReleases","PM_FireWalls",,"An indication that a wall constructed to prevent the spread of fire is in place.","Yes/No",0
"tblS5FlammablesAltReleases","PM_OtherType",,"The type of the passive mitigation considered if other than those listed in 5.10.a. through 5.10.d.","Text",0
"tblS5FlammablesAltReleases","PR_Comm_Ind",,"An indication that a major commercial, office, or industrial area is within the distance to the endpoint specified in the alternative release scenario. These
include industrial parks, office buildings, shopping malls, and commercial areas.","Yes/No",0
"tblS5FlammablesAltReleases","PR_Hospitals",,"An indication that a hospital is within the distance to the endpoint specified in the alternative release scenario.","Yes/No",0
"tblS5FlammablesAltReleases","PR_OtherType",,"The type of public receptor if the public receptor is other than those listed in 5.8.a. through 5.8.f.","Text",0
"tblS5FlammablesAltReleases","PR_Prisons",,"An indication that a prison or correction facility is within the distance to the endpoint specified in the alternative release scenario.","Yes/No",0
"tblS5FlammablesAltReleases","PR_PublicRecreation",,"An indication that a recreational area or arena is within the distance to the endpoint specified in the alternative release scenario. These include stadiums, parks, and public pools.","Yes/No",0
"tblS5FlammablesAltReleases","PR_Residences",,"An indication that residences are within the distance to the endpoint specified in the alternative release scenario.","Yes/No",0
"tblS5FlammablesAltReleases","PR_Schools",,"An indication that a school is within the distance to the endpoint specified in the alternative release scenario.  Schools include: public and private elementary, secondary, and  higher education schools.","Yes/No",0
"tblS5FlammablesAltReleases","ProcessChemicalID",,"From Section 1 Chemicals in Covered Process, the Process Chemical Identifier is a number unique to the chemical that is being reported and is used to identify each chemical within a process.  Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS5FlammablesAltReleases","ptrGraphic",,"The file name of the graphics file for the flammable alternative release scenario.  Should be “.JPG,” or “.GIF” with up to an 8-character prefix.","Text",0
"tblS5FlammablesAltReleases","QuantityReleased","5.4 Quantity released (lbs)","The quantity of the flammable chemical released in pounds.","Double",1
"tblS5FlammablesAltReleases","ResidentialPopulation","5.7 Residential population within distance to endpoint","The population within the distance to endpoint potentially impacted by the alternative release.","Long Integer",1
"tblS5FlammablesAltReleases","Scenario",,"The type of flammable release scenario.   One of the following should be specified:
Vapor cloud explosion;
Fireball;
BLEVE;
Pool fire;
Jet fire;
Vapor cloud fire;
Other (specify).","Text",0
"tblS6AccidentChemicals","AccidentChemicalID",,"Unique identifier for the Five-year Accident History record.  Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS6AccidentChemicals","AccidentHistoryID",,"Unique identifier for the Five-year Accident History record.  Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS6AccidentChemicals","ChemicalID",,"Chemical Abstract Service (CAS) registry number for the chemical released.","Long Integer",0
"tblS6AccidentChemicals","PercentWeight","6.5.c Percent Weight","Percent weight of chemical in release. This applies to toxic chemicals only.","Single",1
"tblS6AccidentChemicals","QuantityReleased","6.5.b Quantity released (lbs)","The amount of the chemical released in pounds.","Double",1
"tblS6AccidentHistory","AccidentDate",,"Date of the accident.","Date/Time",0
"tblS6AccidentHistory","AccidentHistoryID",,"Unique identifier for the Five-year Accident History record.  Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS6AccidentHistory","AccidentReleaseDuration",,"Approximate length of time of the release in hours and minutes.","Text",0
"tblS6AccidentHistory","AccidentTime",,"Time of the accident (Military Time).","Text",0
"tblS6AccidentHistory","CBI_Flag",,"An indication that Confidential Business Information (CBI) was claimed for certain data elements in the record.","Yes/No",0
"tblS6AccidentHistory","CF_BypassCondition",,"A pipe or channel that provides an alternative pathway that detours the main pathway fails releasing a substance.","Yes/No",0
"tblS6AccidentHistory","CF_EquipmentFailure",,"A device or piece of equipment did not function as designed thereby allowing a substance to be released.","Yes/No",0
"tblS6AccidentHistory","CF_HumanError",,"An operator performs an operation improperly or makes a mistake resulting in a release.","Yes/No",0
"tblS6AccidentHistory","CF_ImproperProcedure",,"The procedure did not reflect the current method of operation, the procedure omitted steps that affected the accident, or the procedure was written in a
manner that allowed for misinterpretation of the instructions.","Yes/No",0
"tblS6AccidentHistory","CF_Maintenance",,"Any failure that occurs because of maintenance activity or inactivity.","Yes/No",0
"tblS6AccidentHistory","CF_ManagementError",,"This may be used to describe failures that occur because management did not exercise its managerial control to prevent the situation from
occurring.  This is usually used to describe faulty procedures, inadequate training, or failure to follow existing administrative procedures.","Yes/No",0
"tblS6AccidentHistory","CF_Other",,"A description of the factor that contributed to the accident occurring if other than those listed in 6.12.a. through 6.12.k.","Text",0
"tblS6AccidentHistory","CF_Overpressurization",,"The process was operated at pressures exceeding the design working pressure.","Yes/No",0
"tblS6AccidentHistory","CF_ProcessDesignFailure",,"Any failure that occurs because of an inherent flaw in the design of the process.","Yes/No",0
"tblS6AccidentHistory","CF_UnsuitableEquipment",,"The equipment used was incorrect for the process.","Yes/No",0
"tblS6AccidentHistory","CF_UnusualWeather",,"Weather conditions, such as lightning, hail, ice storms, tornados, hurricanes, floods, or high winds caused the accident.","Yes/No",0
"tblS6AccidentHistory","CF_UpsetCondition",,"The process was operated at pressures exceeding the design working pressure.","Yes/No",0
"tblS6AccidentHistory","CI_ChangedProcess",,"An indication that the process was changed.","Yes/No",0
"tblS6AccidentHistory","CI_ImprovedEquipment",,"A device or piece of equipment that did not function as designed was repaired or replaced.","Yes/No",0
"tblS6AccidentHistory","CI_NewMitigationSystems",,"New mitigation systems were initiated to limit accidental releases.","Yes/No",0
"tblS6AccidentHistory","CI_NewProcessControls",,"New process designs and controls were installed to correct problems and prevent recurrence of an accidental release.","Yes/No",0
"tblS6AccidentHistory","CI_None",,"An indication that none of the measures were taken at the facility to prevent recurrence of the accident.","Yes/No",0
"tblS6AccidentHistory","CI_OtherType",,"The name of the change introduced if other than one of the choices listed above.","Text",0
"tblS6AccidentHistory","CI_ReducedInventory",,"An indication that Inventory was reduced at the source to prevent accidental release.","Yes/No",0
"tblS6AccidentHistory","CI_RevisedERPlan",,"The emergency response plan was revised.","Yes/No",0
"tblS6AccidentHistory","CI_RevisedMaintenance",,"Maintenance processes were clarified or changed to ensure employees and contract employees are aware of and are practicing correct safety, process,
and administrative procedures.","Yes/No",0
"tblS6AccidentHistory","CI_RevisedOpProcedures",,"Operating procedures were clarified or changed to ensure that employees and contract employees are trained on process operating procedures.","Yes/No",0
"tblS6AccidentHistory","CI_RevisedTraining",,"Training programs were clarified or changed to ensure that employees and contract employees are aware of and are practicing correct safety, process,
and administrative procedures.","Yes/No",0
"tblS6AccidentHistory","DeathsPublic","6.9.a.iii On-site impacts: Deaths: Public","The number of public killed onsite during the accident or performing any mitigation activities.","Long Integer",1
"tblS6AccidentHistory","DeathsPublicResponders","6.9.a.ii On-site impacts: Deaths: Public responders","The number of public responders killed onsite during the accident or performing any mitigation activities.","Long Integer",1
"tblS6AccidentHistory","DeathsWorkers","6.9.a.i On-site impacts: Deaths: Employees or contractors","The number of workers or contractors killed onsite during the accident or performing any mitigation activities.","Long Integer",1
"tblS6AccidentHistory","ED_Kills",,"An indication that the type of environmental damage that occurred involved fish or animal kills.","Yes/No",0
"tblS6AccidentHistory","ED_MinorDefoliation",,"An indication that the type of environmental damage that occurred involved tree, lawn, shrub, or crop damage.","Yes/No",0
"tblS6AccidentHistory","ED_Other",,"The name of the other type of environmental damage that occurred if other than those listed in 6.10.g.1 through 6.10.g.4.","Text",0
"tblS6AccidentHistory","ED_SoilContamination",,"An indication that the type of environmental damage that occurred involved soil contamination.","Yes/No",0
"tblS6AccidentHistory","ED_WaterContamination",,"An indication that the type of environmental damage that occurred involved water contamination.","Yes/No",0
"tblS6AccidentHistory","Evacuated","6.10.d Known off-site impacts: Evacuated","The number of people evacuated.","Double",1
"tblS6AccidentHistory","FacilityID",,"Unique identifier for all RMPs submitted by a specific facility (assigned by Reporting Center for first-time submission). * After this number is assigned to the first submission for a facility, subsequent submissions for the same facility must include this identifier.","Long Integer",0
"tblS6AccidentHistory","Hospitalization","6.10.b Known off-site impacts: Hospitalizations","The total number of injuries to the community attributable to the accident that required hospitalization.","Double",1
"tblS6AccidentHistory","InitiatingEvent",,"The name of the other type of environmental damage that occurred if other than those listed in 6.10.g.1 through 6.10.g.4.","Text",0
"tblS6AccidentHistory","InjuriesPublic","6.9.b.iii On-site impacts: Injuries: Public","The number of public injured onsite during the accident or performing any mitigation activities.","Long Integer",1
"tblS6AccidentHistory","InjuriesPublicResponders","6.9.b.ii On-site impacts: Injuries: Public responders","The number of public responders injured onsite during the accident or performing any mitigation activities.","Long Integer",1
"tblS6AccidentHistory","InjuriesWorkers","6.9.b.i On-site impacts: Injuries: Employees or contractors","The number of workers or contractors injured onsite during the accident or performing any mitigation activities.","Long Integer",1
"tblS6AccidentHistory","MedicalTreatment","6.10.c Known off-site impacts: Other medical treatment","The number of injuries to the community that required medical treatment, not including first aid.","Double",1
"tblS6AccidentHistory","NAICSCode",,"The 5- or 6- digit NAICS code.","Text",0
"tblS6AccidentHistory","OffsiteDeaths","6.10.a Known off-site impacts: Deaths","The number of offsite deaths attributable to the accident.","Long Integer",1
"tblS6AccidentHistory","OffsitePropertyDamage","6.10.f Known off-site impacts: Property damage ($)","Estimated value of the off-site property damage, in whole American dollars, caused by the accident, including damage to response equipment.","Double",1
"tblS6AccidentHistory","OffsiteRespondersNotify",,"Indication of whether agencies were contacted:
	Notified only
	Notified Responded
	No, not notified
	Unknown
Users may add their own data if it is not on the list.","Text",0
"tblS6AccidentHistory","OnsitePropertyDamage","6.9.c On-site impacts: Injuries: Property damage","Value of the equipment or business structures that were damaged by the accident or mitigation activities at the facility, in whole U.S. dollars.","Double",1
"tblS6AccidentHistory","OtherReleaseSource",,"Value of the equipment or business structures that were damaged by the accident or mitigation activities at the facility, in whole U.S. dollars.","Text",0
"tblS6AccidentHistory","Precipitation",,"An indicator of whether precipitation was present at the time of the accident.","Yes/No",0
"tblS6AccidentHistory","RE_Explosion",,"Rapid chemical reaction with the production of noise, heat, and violent expansion of gases.","Yes/No",0
"tblS6AccidentHistory","RE_Fire",,"Product (e.g., fuel) in a state of combustion.","Yes/No",0
"tblS6AccidentHistory","RE_Gas",,"Release of the substance in a vapor state.","Yes/No",0
"tblS6AccidentHistory","RE_Spill",,"Release of the substance in a liquid state with subsequent vaporization.","Yes/No",0
"tblS6AccidentHistory","RS_Joint",,"The surface at which two or more mechanical components are united.","Yes/No",0
"tblS6AccidentHistory","RS_Piping",,"System of pipes used to carry a fluid.","Yes/No",0
"tblS6AccidentHistory","RS_ProcessVessel",,"Container in which regulated substances are blended to form a mixture or reacted to convert them into some other final product or form.","Yes/No",0
"tblS6AccidentHistory","RS_Pump",,"Device that raises, transfers, or compresses fluids or that attenuates gases by suction or pressure or both.","Yes/No",0
"tblS6AccidentHistory","RS_StorageVessel",,"Container for storing, holding, or transporting a liquid.","Yes/No",0
"tblS6AccidentHistory","RS_TransferHose",,"Connection between two or more vessels.","Yes/No",0
"tblS6AccidentHistory","RS_Valve",,"Structure that closes temporarily a passage or permits movement of fluid in one direction only.","Yes/No",0
"tblS6AccidentHistory","ShelteredInPlace","6.10.e Known off-site impacts: Sheltered-in-place","Number of community members sheltered-in-place (ordered by the incident commander to remain inside their residence or place of work until the emergency is over).","Double",1
"tblS6AccidentHistory","StabilityClass",,"A general indication of the degree of mixing present in the atmosphere accounting for wind speed and sunlight, where ""A"" represents extremely unstable conditions and ""F"" represents calm conditions.","Text",0
"tblS6AccidentHistory","Temperature",,"The ambient temperature at the scene of the accident in degrees Fahrenheit.","Single",0
"tblS6AccidentHistory","WeatherUnknown",,"A flag indicating the weather conditions at the time of the accident are unknown.","Yes/No",0
"tblS6AccidentHistory","WindDirection",,"Direction from which the wind comes using standard compass reading.","Text",0
"tblS6AccidentHistory","WindSpeed",,"An estimate of how fast the wind is traveling.","Single",0
"tblS6AccidentHistory","WindSpeedUnitCode",,"Unit code for wind speed.","Text",0
"tblS6FlammableMixtureChemicals","AccidentChemicalID",,"Unique identifier for each Accident History flammable mixture chemical.  Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS6FlammableMixtureChemicals","ChemicalID",,"Chemical Abstract Service (CAS) registry number for the flammable mixture chemical released.","Long Integer",0
"tblS6FlammableMixtureChemicals","FlamMixChemID",,"Unique identifier for the Accident Flammable Mixture Chemical record.  Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS7_Prevention_Program_Chemicals","PreventionProgram3ID",,"A unique number used to identify each prevention program within a NAICS code within a process.  Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS7_Prevention_Program_Chemicals","PrimaryKey",,"Unique identifier for the Prevention Program 3 chemicals record destination table.  Generated by RMP*Submit and 3rd-party programs.","Long Integer",0
"tblS7_Prevention_Program_Chemicals","ProcessChemicalID",,"A number used to identify each chemical within a single RMP from Section 1 Chemicals in Covered Process.  Generated by RMP*Submit and 3rd-party
programs.","Long Integer",0
"tblS7PreventionProgram3","AuditCompletionDate",,"The expected or actual date of completion of all changes resulting from the compliance audit.","Date/Time",0
"tblS7PreventionProgram3","CBI_Flag",,"An indication that Confidential Business Information (CBI) was claimed for certain data elements in the record.","Yes/No",0
"tblS7PreventionProgram3","CH_ChangeProcessParameters",,"An increase or decrease in temperature, pressure, flow rates, etc.","Yes/No",0
"tblS7PreventionProgram3","CH_ChemicalIncrease",,"An  increase in the quantity of regulated substances stored on site.","Yes/No",0
"tblS7PreventionProgram3","CH_ChemicalReduction",,"A decrease in the quantity of regulated substances stored on site.","Yes/No",0
"tblS7PreventionProgram3","CH_InstallMitigationSystems",,"Additional mitigation systems have been put in place.","Yes/No",0
"tblS7PreventionProgram3","CH_InstallPerimeterMonitoring",,"Additional perimeter monitoring systems have been installed to detect a release of a regulated substance from the process.","Yes/No",0
"tblS7PreventionProgram3","CH_InstallProcessControls",,"The addition of process controls used to prevent or limit releases.","Yes/No",0
"tblS7PreventionProgram3","CH_InstallProcessDetection",,"Additional detection systems have been installed to detect a release of a regulated substance from the process.","Yes/No",0
"tblS7PreventionProgram3","CH_None",,"No Changes since last PHA update.","Yes/No",0
"tblS7PreventionProgram3","CH_NoneRequired",,"The PHA or hazard review team did not recommend any changes to the process.","Yes/No",0
"tblS7PreventionProgram3","CH_OtherChanges",,"Any other changes made to the process since the last PHA or hazard review.","Text",0
"tblS7PreventionProgram3","ChangeMgmtDate",,"The date of the most recent change that triggered management of change procedures.","Date/Time",0
"tblS7PreventionProgram3","ChangeMgmtReviewDate",,"The date of the most recent review or revision of management of change procedures.","Date/Time",0
"tblS7PreventionProgram3","ComplianceAuditDate",,"Date of the most recent compliance audit.  Required if a resubmission.","Date/Time",0
"tblS7PreventionProgram3","ContractorSafetyEvalDate",,"Date of most recent evaluation of contractor safety performance.","Date/Time",0
"tblS7PreventionProgram3","ContractorSafetyReviewDate",,"Date of most recent review or revision of contractor safety procedures.","Date/Time",0
"tblS7PreventionProgram3","CT_Demonstration",,"A demonstration was given to determine and evaluate employee comprehension of training materials.","Yes/No",0
"tblS7PreventionProgram3","CT_Observation",,"Employees were observed to determine and evaluate employee comprehension of training materials.","Yes/No",0
"tblS7PreventionProgram3","CT_OralTest",,"An oral test was given to determine and evaluate employee comprehension of training materials.","Yes/No",0
"tblS7PreventionProgram3","CT_OtherType",,"The type of competency test used if other than the values for Competency Test.","Text",0
"tblS7PreventionProgram3","CT_WrittenTest",,"A written test was given to determine and evaluate employee comprehension of training materials.","Yes/No",0
"tblS7PreventionProgram3","Description",,"The Prevent Program includes an optional description field.","Memo",0
"tblS7PreventionProgram3","EquipmentInspectionDate",,"The date of the most recent equipment inspection or test.","Date/Time",0
"tblS7PreventionProgram3","EquipmentTested",,"The equipment tested or inspected.","Text",0
"tblS7PreventionProgram3","HotWorkPermitReviewDate",,"Date of most recent review or revision of hot work permit procedures.","Date/Time",0
"tblS7PreventionProgram3","IncidentInvestigationDate",,"The date of the most recent incident investigation.","Date/Time",0
"tblS7PreventionProgram3","InvestigationChangeDate",,"The expected or actual date of completion of any changes resulting from an investigation.","Date/Time",0
"tblS7PreventionProgram3","MaintenanceReviewDate",,"The date of most recent review or revision of maintenance procedures.","Date/Time",0
"tblS7PreventionProgram3","MD_None",,"No Monitoring or detection in Use.","Yes/No",0
"tblS7PreventionProgram3","MD_OtherType",,"The type of monitoring or detection system in place if other than the ones listed above.","Text",0
"tblS7PreventionProgram3","MD_PerimeterMonitors",,"Integrated detection networks at the source boundary.  Detection systems can include fluorescent SO2 analyzers, photoelectric tape sensors, or electrolytic chlorine detectors.","Yes/No",0
"tblS7PreventionProgram3","MD_ProcessAreaDetectors",,"Detection systems located on or close to process equipment.  Detection systems include indicator tubes, and chromatographic, spectrometric, electrochemical, and colorimetric gas analysis.","Yes/No",0
"tblS7PreventionProgram3","MH_Contamination",,"A release could occur if inappropriate substances are introduced into storage or process vessels.  Contamination may be a major hazard when
controlling inappropriate substances (e.g., H2O) is difficult.","Yes/No",0
"tblS7PreventionProgram3","MH_CoolingLoss",,"These losses could be major hazards if they could lead to releases.  For example, loss of cooling could lead to an increase in pressure and failure of
a vessel or pipe, and a loss of heating or power could lead to unstable processes.","Yes/No",0
"tblS7PreventionProgram3","MH_Corrosion",,"The presence of the regulated substance could lead to destruction of equipment and a release.  Corrosion may be a major hazard for substances
identified as corrosives on Material Safety Data Sheets unless the equipment used limits the hazard.","Yes/No",0
"tblS7PreventionProgram3","MH_Earthquake",,"Report earthquakes as a major hazard only if they occur or are likely to occur at your site such that you design and plan for them.","Yes/No",0
"tblS7PreventionProgram3","MH_EquipmentFailure",,"Equipment failure will be a major hazard for most processes because such failure could lead to a release.  Equipment failure includes cracks, weld
failures, disk failures, ruptures, pump/gauge/control system failures, etc.","Yes/No",0
"tblS7PreventionProgram3","MH_Explosion",,"Confined or unconfined vapor cloud explosions.","Yes/No",0
